mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.31159329414367676,0.020853349630802355,0.07078639666239421,0.004706712195331876,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.4318181818181818,0.36363636363636365,0.3595505617977528,0.38500170241743276,0.03314624666310069,37,0.9216589861751152,0.8695652173913043,0.9107981220657277,0.9006741085440492,0.02243972554593953
0.5355451107025146,0.017579963221465295,0.12215963999430339,0.0065750207160687,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.4418604651162791,0.36363636363636365,0.37209302325581395,0.39252995066948554,0.03505237523733866,33,0.9107981220657277,0.8952380952380953,0.9056603773584906,0.903898864887438,0.006473319774706855
0.2029267946879069,0.02189830148928073,0.051124254862467446,0.005055978188042103,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.4523809523809524,0.3373493975903614,0.21951219512195122,0.336414181697755,0.09507057202735324,67,0.8020304568527918,0.8020304568527918,0.7835051546391752,0.7958553561149196,0.008732911212518967
0.32622718811035156,0.0322343484204158,0.09028855959574382,0.0011724830116495,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.4578313253012048,0.3132530120481928,0.24691358024691357,0.3393326391987704,0.08805938908460814,66,0.8472906403940886,0.8020304568527918,0.7619047619047619,0.8037419530505474,0.03487964043941889
0.4742753505706787,0.034202695149170965,0.08532913525899251,0.007855689756550816,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.4444444444444444,0.3333333333333333,0.24691358024691357,0.3415637860082304,0.08085136915386214,64,0.8241206030150754,0.8140703517587939,0.7789473684210526,0.8057127743983074,0.019365641489057246
0.1788309415181478,0.011716904313394241,0.07337299982706706,0.02057271965307786,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.4444444444444444,0.3373493975903614,0.3170731707317073,0.3662890042555044,0.05588074186605577,48,0.7486631016042781,0.797979797979798,0.7938144329896907,0.7801524441912555,0.022331167886987455
0.3305232524871826,0.0326929389569655,0.08344109853108723,0.01797503594253765,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.47619047619047616,0.34146341463414637,0.225,0.34755129694154085,0.10263839621194744,60,0.7446808510638298,0.7897435897435897,0.774869109947644,0.7697645169183546,0.018747537737457454
0.4640677769978841,0.030042553041148074,0.10758368174235027,0.010648111506463028,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.4444444444444444,0.30952380952380953,0.20512820512820512,0.3196988196988197,0.09796500641951372,77,0.774869109947644,0.7835051546391752,0.774869109947644,0.7777477915114878,0.004071070509341213
0.1335627237955729,0.010401793150496386,0.08721415201822917,0.01000320486347119,10,4,5,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.4444444444444444,0.3373493975903614,0.3170731707317073,0.3662890042555044,0.05588074186605577,48,0.7486631016042781,0.797979797979798,0.7938144329896907,0.7801524441912555,0.022331167886987455
0.34054040908813477,0.0845320349289301,0.08906261126200359,0.002822630018378184,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.47619047619047616,0.34146341463414637,0.225,0.34755129694154085,0.10263839621194744,60,0.7446808510638298,0.7897435897435897,0.774869109947644,0.7697645169183546,0.018747537737457454
